numItem,lenData,numPack,numAgg,alpha,interType,allowIntersection,Average,Std Dev,Min,Max,Median
21,4,1,8,3,CI,1,49.77576,.43977,49.2856,50.7458,49.64545
22,4,1,8,3,CI,0,96.27689,.21255,95.9908,96.6687,96.23585
23,4,1,8,3,CI,1,195.74910,1.58044,193.266,198.624,195.91600
24,4,1,8,3,CI,0,382.60670,.96304,380.538,383.92,382.86500
21,4,1,16,3,CI,1,49.96375,.57476,49.5286,51.533,49.66730
22,4,1,16,3,CI,0,96.20301,.32448,95.594,96.8014,96.29870
23,4,1,16,3,CI,1,196.19580,.95460,195.003,197.848,196.36050
24,4,1,16,3,CI,0,382.93330,1.63694,379.331,384.949,382.92850
21,4,1,32,3,CI,1,50.06095,.29529,49.7148,50.8387,50.01600
22,4,1,32,3,CI,0,96.44541,.49996,95.7384,97.3289,96.44480
23,4,1,32,3,CI,1,195.23580,.62392,194.504,196.745,195.19250
24,4,1,32,3,CI,0,382.55170,.86186,381.261,384.242,382.44700
21,4,1,8,3,CPI,1,35.84321,.40595,35.1495,36.5827,35.83055
22,4,1,8,3,CPI,0,67.81159,.66025,67.0906,69.2656,67.67400
