numItem,lenData,numPack,numAgg,alpha,interType,allowIntersection,Average,Std Dev,Min,Max,Median
15,4,1,8,3,CI,1,4.07904,.11480,3.9824,4.36409,4.01639
16,4,1,8,3,CI,0,6.52632,.14518,6.20729,6.76159,6.53881
17,4,1,8,3,CI,1,9.81320,.19339,9.72449,10.3906,9.74622
18,4,1,8,3,CI,0,10.43766,.33799,10.0563,10.8297,10.44715
19,4,1,8,3,CI,1,11.21893,.30134,10.7646,11.9148,11.21525
20,4,1,8,3,CI,0,17.80378,.06580,17.6939,17.8934,17.82210
21,4,1,8,3,CI,1,32.20529,.07416,32.0543,32.3182,32.21645
22,4,1,8,3,CI,0,62.81168,.17064,62.566,63.175,62.81935
23,4,1,8,3,CI,1,126.95650,.71741,125.602,128.418,126.89100
15,4,1,16,3,CI,0,4.17294,.16640,3.95921,4.49051,4.15827
16,4,1,16,3,CI,1,6.51170,.23689,6.06571,6.84429,6.53670
17,4,1,16,3,CI,0,9.79653,.19809,9.69151,10.3852,9.73396
18,4,1,16,3,CI,1,10.22691,.24024,10.0099,10.739,10.12655
19,4,1,16,3,CI,0,11.29164,.23231,10.7609,11.7235,11.27845
20,4,1,16,3,CI,1,17.83090,.03633,17.7854,17.9163,17.81565
21,4,1,16,3,CI,0,32.19799,.06268,32.1121,32.3177,32.18230
22,4,1,16,3,CI,1,62.59080,.06737,62.4406,62.708,62.59690
23,4,1,16,3,CI,0,126.72490,.37116,125.758,127.163,126.77300
15,4,1,32,3,CI,1,4.05496,.04254,3.99,4.15642,4.05175
16,4,1,32,3,CI,0,6.63241,.24464,6.10192,6.92179,6.64397
17,4,1,32,3,CI,1,9.82475,.23052,9.67108,10.5067,9.76062
18,4,1,32,3,CI,0,10.39280,.31449,10.0466,10.769,10.37750
19,4,1,32,3,CI,1,11.37251,.18533,11.1913,11.8359,11.31860
20,4,1,32,3,CI,0,17.81180,.06488,17.6865,17.9329,17.83385
21,4,1,32,3,CI,1,32.23877,.09364,32.0855,32.3935,32.21015
22,4,1,32,3,CI,0,62.67190,.12778,62.5154,62.8848,62.64050
23,4,1,32,3,CI,1,126.89330,.44998,126.288,127.657,126.84700
15,4,1,8,3,CPI,0,3.66066,.05558,3.58422,3.77392,3.65164
16,4,1,8,3,CPI,1,5.30686,.13827,5.15222,5.56159,5.24400
17,4,1,8,3,CPI,0,7.54845,.12231,7.46083,7.90339,7.51847
18,4,1,8,3,CPI,1,7.80262,.14142,7.66359,8.10467,7.75200
19,4,1,8,3,CPI,0,8.59627,.20009,8.28956,9.09025,8.54890
20,4,1,8,3,CPI,1,13.48012,.03146,13.4251,13.5267,13.48565
21,4,1,8,3,CPI,0,23.94749,.14906,23.7401,24.1969,23.96400
22,4,1,8,3,CPI,1,46.33743,.19473,46.101,46.7293,46.28360
23,4,1,8,3,CPI,0,92.60777,.66585,91.3713,93.6079,92.71495
15,4,1,16,3,CPI,1,3.62457,.04785,3.53882,3.68277,3.63032
16,4,1,16,3,CPI,0,5.37548,.12149,5.16552,5.53764,5.38256
17,4,1,16,3,CPI,1,7.54585,.11861,7.45292,7.8953,7.51252
18,4,1,16,3,CPI,0,7.88886,.17891,7.71186,8.15311,7.79271
19,4,1,16,3,CPI,1,8.53092,.14939,8.3496,8.83427,8.47163
20,4,1,16,3,CPI,0,13.44783,.03754,13.3696,13.5045,13.45985
21,4,1,16,3,CPI,1,23.91126,.12136,23.7203,24.1443,23.93220
22,4,1,16,3,CPI,0,46.31335,.15984,46.1145,46.6388,46.28375
23,4,1,16,3,CPI,1,92.51311,.37773,92.0143,93.3688,92.46205
15,4,1,32,3,CPI,0,3.61784,.03974,3.54805,3.68574,3.62515
16,4,1,32,3,CPI,1,5.31882,.11278,5.14194,5.46119,5.34756
17,4,1,32,3,CPI,0,7.57923,.14415,7.47274,7.87803,7.51453
18,4,1,32,3,CPI,1,7.88787,.17435,7.71355,8.13727,7.77127
19,4,1,32,3,CPI,0,8.47673,.14335,8.23923,8.81059,8.47449
20,4,1,32,3,CPI,1,13.47311,.05974,13.3835,13.5632,13.48500
21,4,1,32,3,CPI,0,23.86535,.11489,23.7052,24.0799,23.84885
22,4,1,32,3,CPI,1,46.26000,.27180,45.9294,46.8016,46.24190
23,4,1,32,3,CPI,0,92.99024,.59310,92.0828,93.885,93.10025
15,4,1,8,3,CIH,1,0,0,N/A,N/A,N/A
16,4,1,8,3,CIH,0,0,0,N/A,N/A,N/A
17,4,1,8,3,CIH,1,0,0,N/A,N/A,N/A
18,4,1,8,3,CIH,0,10.96646,.10004,10.8302,11.1063,10.95995
19,4,1,8,3,CIH,1,13.16939,.36728,12.818,13.8303,13.06725
20,4,1,8,3,CIH,0,21.30271,.08372,21.1559,21.4518,21.31605
21,4,1,8,3,CIH,1,33.08890,.10266,32.9129,33.2275,33.10540
22,4,1,8,3,CIH,0,58.00449,.10954,57.8333,58.1729,58.03160
23,4,1,8,3,CIH,1,116.67980,.16902,116.411,116.938,116.68850
15,4,1,16,3,CIH,0,0,0,N/A,N/A,N/A
16,4,1,16,3,CIH,1,0,0,N/A,N/A,N/A
17,4,1,16,3,CIH,0,0,0,N/A,N/A,N/A
18,4,1,16,3,CIH,1,0,0,N/A,N/A,N/A
19,4,1,16,3,CIH,0,12.28857,.11153,12.142,12.472,12.26140
20,4,1,16,3,CIH,1,19.98579,.09465,19.8058,20.1905,19.96805
21,4,1,16,3,CIH,0,36.31318,.13274,36.0742,36.5405,36.34320
22,4,1,16,3,CIH,1,60.83181,.31826,60.4399,61.5745,60.78960
23,4,1,16,3,CIH,0,114.58400,.20603,114.196,114.864,114.62950
15,4,1,32,3,CIH,1,0,0,N/A,N/A,N/A
16,4,1,32,3,CIH,0,0,0,N/A,N/A,N/A
17,4,1,32,3,CIH,1,0,0,N/A,N/A,N/A
18,4,1,32,3,CIH,0,0,0,N/A,N/A,N/A
19,4,1,32,3,CIH,1,0,0,N/A,N/A,N/A
20,4,1,32,3,CIH,0,0,0,N/A,N/A,N/A
21,4,1,32,3,CIH,1,0,0,N/A,N/A,N/A
22,4,1,32,3,CIH,0,0,0,N/A,N/A,N/A
23,4,1,32,3,CIH,1,0,0,N/A,N/A,N/A
15,4,1,8,3,CPIH,0,0,0,N/A,N/A,N/A
16,4,1,8,3,CPIH,1,0,0,N/A,N/A,N/A
17,4,1,8,3,CPIH,0,0,0,N/A,N/A,N/A
18,4,1,8,3,CPIH,1,7.59600,.19685,7.42045,7.99101,7.51296
19,4,1,8,3,CPIH,0,10.08844,.34831,9.62925,10.6898,10.17220
20,4,1,8,3,CPIH,1,15.89723,.09586,15.7866,16.145,15.86085
21,4,1,8,3,CPIH,0,21.14105,.05882,21.067,21.2368,21.13425
22,4,1,8,3,CPIH,1,34.30023,.14869,34.0901,34.5886,34.29265
23,4,1,8,3,CPIH,0,67.18781,.28621,66.8283,67.6649,67.08815
15,4,1,16,3,CPIH,1,0,0,N/A,N/A,N/A
16,4,1,16,3,CPIH,0,0,0,N/A,N/A,N/A
17,4,1,16,3,CPIH,1,0,0,N/A,N/A,N/A
18,4,1,16,3,CPIH,0,0,0,N/A,N/A,N/A
19,4,1,16,3,CPIH,1,9.01972,.15604,8.74696,9.2689,8.97872
20,4,1,16,3,CPIH,0,14.24766,.08312,14.1521,14.3915,14.22845
21,4,1,16,3,CPIH,1,24.06555,.13438,23.8211,24.2737,24.07490
22,4,1,16,3,CPIH,0,36.98251,.12045,36.8014,37.2402,36.98835
23,4,1,16,3,CPIH,1,64.83629,.19521,64.5073,65.0996,64.82295
15,4,1,32,3,CPIH,0,0,0,N/A,N/A,N/A
16,4,1,32,3,CPIH,1,0,0,N/A,N/A,N/A
17,4,1,32,3,CPIH,0,0,0,N/A,N/A,N/A
18,4,1,32,3,CPIH,1,0,0,N/A,N/A,N/A
19,4,1,32,3,CPIH,0,0,0,N/A,N/A,N/A
20,4,1,32,3,CPIH,1,0,0,N/A,N/A,N/A
21,4,1,32,3,CPIH,0,0,0,N/A,N/A,N/A
22,4,1,32,3,CPIH,1,0,0,N/A,N/A,N/A
23,4,1,32,3,CPIH,0,0,0,N/A,N/A,N/A
15,4,1,8,3,CI,1,4.13841,.14577,3.98383,4.43011,4.05581
16,4,1,8,3,CI,0,6.51939,.21750,6.11866,6.75379,6.60455
17,4,1,8,3,CI,1,10.04037,.36691,9.6995,10.5096,9.78062
18,4,1,8,3,CI,0,10.32122,.30574,10.0755,10.8039,10.13060
19,4,1,8,3,CI,1,11.28302,.08988,11.161,11.4447,11.26130
20,4,1,8,3,CI,0,17.80960,.08972,17.624,17.9766,17.82480
21,4,1,8,3,CI,1,32.23034,.06913,32.1218,32.3194,32.24775
22,4,1,8,3,CI,0,62.74493,.17988,62.5395,63.1997,62.71960
23,4,1,8,3,CI,1,127.12390,.56655,126.454,128.349,126.89800
15,4,1,16,3,CI,0,4.13837,.14839,3.97462,4.33509,4.14040
16,4,1,16,3,CI,1,6.49081,.22893,6.1458,7.00554,6.47375
17,4,1,16,3,CI,0,9.96420,.33460,9.6682,10.5153,9.77757
18,4,1,16,3,CI,1,10.48811,.31098,10.0738,10.78,10.70945
19,4,1,16,3,CI,0,11.33847,.20154,10.9146,11.6918,11.31855
20,4,1,16,3,CI,1,17.85456,.06737,17.7019,17.9464,17.85795
21,4,1,16,3,CI,0,32.19827,.14913,31.9796,32.4924,32.22130
22,4,1,16,3,CI,1,62.69618,.11497,62.5114,62.8775,62.68690
23,4,1,16,3,CI,0,126.94280,.36829,126.57,127.887,126.84150
15,4,1,32,3,CI,1,4.21820,.14896,3.98261,4.37762,4.27403
16,4,1,32,3,CI,0,6.40707,.15681,6.1465,6.59292,6.43584
