numItem,lenData,numPack,numAgg,alpha,interType,allowIntersection,Average,Std Dev,Min,Max,Median
15,4,1,8,3,CI,1,4.13395,.14587,3.99309,4.42151,4.05815
16,4,1,8,3,CI,1,6.45294,.20349,6.11445,6.81699,6.46616
17,4,1,8,3,CI,1,9.98619,.33176,9.73086,10.599,9.79293
18,4,1,8,3,CI,1,10.49206,.32369,10.1203,10.874,10.7246
19,4,1,8,3,CI,1,11.47250,.44004,10.865,12.9684,11.3925
20,4,1,8,3,CI,1,17.93262,.06572,17.8136,18.0584,17.9439
21,4,1,8,3,CI,1,32.27573,.09721,32.1225,32.5001,32.2798
22,4,1,8,3,CI,1,62.84704,.16941,62.5359,63.1935,62.8019
23,4,1,8,3,CI,1,126.88552,.57234,125.603,128.375,126.827
15,4,1,16,3,CI,1,4.15779,.16733,4.0081,4.50655,4.07583
16,4,1,16,3,CI,1,6.64028,.20966,6.26349,7.09257,6.59356
17,4,1,16,3,CI,1,10.11741,.37973,9.74711,10.6353,9.82379
18,4,1,16,3,CI,1,10.47010,.34415,10.144,10.9599,10.2407
19,4,1,16,3,CI,1,11.52122,.32337,10.8901,12.2957,11.4664
20,4,1,16,3,CI,1,17.98211,.06715,17.8424,18.1226,17.9978
21,4,1,16,3,CI,1,32.29585,.13401,32.018,32.6301,32.2915
22,4,1,16,3,CI,1,62.79944,.12247,62.5986,63.0927,62.7787
23,4,1,16,3,CI,1,126.96448,.29834,126.428,127.573,126.963
15,4,1,32,3,CI,1,4.24580,.17949,4.02215,4.58652,4.18135
16,4,1,32,3,CI,1,6.54154,.27678,6.14331,7.04306,6.5159
17,4,1,32,3,CI,1,10.07080,.33743,9.7836,10.693,9.89139
18,4,1,32,3,CI,1,10.46707,.32442,10.1225,11.0218,10.2972
19,4,1,32,3,CI,1,11.52663,.20084,11.0325,12.0052,11.5237
20,4,1,32,3,CI,1,18.01805,.05665,17.9157,18.1218,18.0207
21,4,1,32,3,CI,1,32.34217,.11018,32.1585,32.547,32.3345
22,4,1,32,3,CI,1,74.80906,7.64425,62.668,83.5796,78.3031
23,4,1,32,3,CI,1,158.88700,7.06200,127.701,165.954,159.047
15,4,1,8,3,CPI,1,3.78195,.03949,3.70574,3.86224,3.78655
16,4,1,8,3,CPI,1,5.57828,.13776,5.36146,5.89044,5.59675
17,4,1,8,3,CPI,1,7.80914,.19702,7.63453,8.18101,7.70531
18,4,1,8,3,CPI,1,8.08580,.17691,7.87876,8.35831,7.97727
19,4,1,8,3,CPI,1,9.04640,.49075,8.58934,10.5278,8.8367
20,4,1,8,3,CPI,1,13.68517,.08000,13.4727,13.8135,13.6912
21,4,1,8,3,CPI,1,23.96589,.09327,23.8071,24.188,23.9524
22,4,1,8,3,CPI,1,46.29157,.16932,46.0518,46.6347,46.2461
23,4,1,8,3,CPI,1,106.20350,11.73853,91.7291,121.29,114.4
15,4,1,16,3,CPI,1,3.79740,.04074,3.71594,3.881,3.81328
16,4,1,16,3,CPI,1,5.59775,.14642,5.38961,5.91016,5.5865
17,4,1,16,3,CPI,1,7.80113,.18981,7.6225,8.12935,7.69711
18,4,1,16,3,CPI,1,8.96147,.82445,7.92355,11.1934,9.16261
19,4,1,16,3,CPI,1,9.16302,.38207,8.60964,9.99722,9.16589
20,4,1,16,3,CPI,1,13.65058,.08723,13.4652,13.9156,13.652
21,4,1,16,3,CPI,1,23.98615,.05983,23.842,24.1248,23.9954
22,4,1,16,3,CPI,1,46.28002,.13946,46.0774,46.5406,46.2508
23,4,1,16,3,CPI,1,93.27241,.67709,91.936,94.6977,93.3571
15,4,1,32,3,CPI,1,3.81692,.05403,3.70537,3.94183,3.81686
16,4,1,32,3,CPI,1,5.58651,.15359,5.33395,5.94234,5.59262
17,4,1,32,3,CPI,1,7.76566,.15931,7.65221,8.12622,7.69787
18,4,1,32,3,CPI,1,8.12238,.17589,7.8964,8.35625,7.99525
19,4,1,32,3,CPI,1,8.94909,.26778,8.52298,9.54338,8.88092
20,4,1,32,3,CPI,1,13.69756,.07576,13.4973,13.84,13.7061
21,4,1,32,3,CPI,1,23.96406,.07648,23.8187,24.1451,23.9599
22,4,1,32,3,CPI,1,46.29441,.12453,46.0516,46.5158,46.3069
23,4,1,32,3,CPI,1,92.90188,.65696,91.81,94.4911,92.9726
15,4,1,8,3,CIH,1,0,0,N/A,N/A,N/A
16,4,1,8,3,CIH,1,0,0,N/A,N/A,N/A
17,4,1,8,3,CIH,1,0,0,N/A,N/A,N/A
18,4,1,8,3,CIH,1,11.34690,.09000,11.1107,11.4508,11.3855
19,4,1,8,3,CIH,1,13.81539,.51441,13.1537,14.8994,13.7081
20,4,1,8,3,CIH,1,21.61294,.11287,21.3614,21.8587,21.6289
21,4,1,8,3,CIH,1,33.41663,.16760,33.1065,33.7569,33.3999
22,4,1,8,3,CIH,1,58.37926,.41440,57.8094,59.648,58.2765
23,4,1,8,3,CIH,1,117.26176,.29556,116.683,117.707,117.33
15,4,1,16,3,CIH,1,0,0,N/A,N/A,N/A
16,4,1,16,3,CIH,1,0,0,N/A,N/A,N/A
17,4,1,16,3,CIH,1,0,0,N/A,N/A,N/A
18,4,1,16,3,CIH,1,0,0,N/A,N/A,N/A
19,4,1,16,3,CIH,1,12.91259,.29257,12.5909,13.9159,12.8269
20,4,1,16,3,CIH,1,20.27250,.12984,20.0544,20.5397,20.2693
21,4,1,16,3,CIH,1,36.62907,.22226,36.1389,37.0094,36.6598
22,4,1,16,3,CIH,1,60.93525,.22607,60.4863,61.3857,60.9358
23,4,1,16,3,CIH,1,115.50148,.41312,114.636,116.198,115.512
15,4,1,32,3,CIH,1,0,0,N/A,N/A,N/A
16,4,1,32,3,CIH,1,0,0,N/A,N/A,N/A
17,4,1,32,3,CIH,1,0,0,N/A,N/A,N/A
18,4,1,32,3,CIH,1,0,0,N/A,N/A,N/A
19,4,1,32,3,CIH,1,0,0,N/A,N/A,N/A
20,4,1,32,3,CIH,1,0,0,N/A,N/A,N/A
21,4,1,32,3,CIH,1,0,0,N/A,N/A,N/A
22,4,1,32,3,CIH,1,0,0,N/A,N/A,N/A
23,4,1,32,3,CIH,1,0,0,N/A,N/A,N/A
15,4,1,8,3,CPIH,1,0,0,N/A,N/A,N/A
16,4,1,8,3,CPIH,1,0,0,N/A,N/A,N/A
17,4,1,8,3,CPIH,1,0,0,N/A,N/A,N/A
18,4,1,8,3,CPIH,1,8.00328,.21672,7.73011,8.38127,7.88118
19,4,1,8,3,CPIH,1,10.24374,.46960,9.83448,11.9131,10.0744
20,4,1,8,3,CPIH,1,16.22504,.10084,16.0185,16.4706,16.2484
21,4,1,8,3,CPIH,1,21.29412,.07912,21.1339,21.4385,21.2939
22,4,1,8,3,CPIH,1,34.59576,.29868,34.2103,35.3929,34.5277
23,4,1,8,3,CPIH,1,67.60106,.18041,67.2613,67.8707,67.5727
15,4,1,16,3,CPIH,1,0,0,N/A,N/A,N/A
16,4,1,16,3,CPIH,1,0,0,N/A,N/A,N/A
17,4,1,16,3,CPIH,1,0,0,N/A,N/A,N/A
18,4,1,16,3,CPIH,1,0,0,N/A,N/A,N/A
19,4,1,16,3,CPIH,1,9.47327,.31893,9.08655,10.575,9.42858
20,4,1,16,3,CPIH,1,14.61100,.10963,14.4037,14.8386,14.6088
21,4,1,16,3,CPIH,1,24.30911,.14577,24.0014,24.5545,24.3343
22,4,1,16,3,CPIH,1,37.12594,.08831,36.905,37.3486,37.1325
23,4,1,16,3,CPIH,1,65.28353,.29065,64.7984,65.948,65.3029
15,4,1,32,3,CPIH,1,0,0,N/A,N/A,N/A
16,4,1,32,3,CPIH,1,0,0,N/A,N/A,N/A
17,4,1,32,3,CPIH,1,0,0,N/A,N/A,N/A
18,4,1,32,3,CPIH,1,0,0,N/A,N/A,N/A
19,4,1,32,3,CPIH,1,0,0,N/A,N/A,N/A
20,4,1,32,3,CPIH,1,0,0,N/A,N/A,N/A
21,4,1,32,3,CPIH,1,0,0,N/A,N/A,N/A
22,4,1,32,3,CPIH,1,0,0,N/A,N/A,N/A
23,4,1,32,3,CPIH,1,0,0,N/A,N/A,N/A
