numItem,lenData,numPack,numAgg,alpha,interType,allowIntersection,Average,Std Dev,Min,Max,Median
15,4,1,2,3,CIH,1,0,0,N/A,N/A,N/A
16,4,1,2,3,CIH,1,6.16814,.06403,6.09648,6.27338,6.14118
17,4,1,2,3,CIH,1,10.56274,.08876,10.4112,10.6355,10.6233
18,4,1,2,3,CIH,1,13.53738,.35726,13.062,13.9287,13.7223
19,4,1,2,3,CIH,1,12.83546,.30093,12.5229,13.304,12.7214
20,4,1,2,3,CIH,1,17.76904,.17868,17.5452,18.0009,17.6964
21,4,1,2,3,CIH,1,31.03950,.07162,30.9593,31.1538,31.0422
22,4,1,2,3,CIH,1,59.83614,.05594,59.765,59.9055,59.8061
23,4,1,2,3,CIH,1,120.87000,.28745,120.499,121.301,120.817
15,4,1,4,3,CIH,1,0,0,N/A,N/A,N/A
16,4,1,4,3,CIH,1,0,0,N/A,N/A,N/A
17,4,1,4,3,CIH,1,9.41275,.06526,9.31882,9.52382,9.40801
18,4,1,4,3,CIH,1,11.15624,.07183,11.0201,11.2166,11.1965
19,4,1,4,3,CIH,1,14.48830,.41243,13.8713,15.0349,14.4383
20,4,1,4,3,CIH,1,17.68890,.11815,17.549,17.9026,17.6629
21,4,1,4,3,CIH,1,28.78004,.37352,28.2441,29.2754,28.6761
22,4,1,4,3,CIH,1,53.86116,.16118,53.654,54.1431,53.8101
23,4,1,4,3,CIH,1,108.94860,.39084,108.691,109.716,108.729
15,4,1,2,3,CPIH,1,0,0,N/A,N/A,N/A
16,4,1,2,3,CPIH,1,4.60843,.04658,4.55834,4.67504,4.589
17,4,1,2,3,CPIH,1,7.63521,.47257,7.05614,8.05434,7.99535
18,4,1,2,3,CPIH,1,10.11961,.82400,9.40361,11.1933,9.52529
19,4,1,2,3,CPIH,1,9.77332,.22376,9.45681,10.0688,9.67929
20,4,1,2,3,CPIH,1,12.58390,.08717,12.5032,12.7325,12.5496
21,4,1,2,3,CPIH,1,20.78048,.06655,20.7055,20.8757,20.7827
22,4,1,2,3,CPIH,1,39.77018,.13049,39.5891,39.9738,39.7758
23,4,1,2,3,CPIH,1,78.94264,.39199,78.492,79.5674,78.8546
15,4,1,4,3,CPIH,1,0,0,N/A,N/A,N/A
16,4,1,4,3,CPIH,1,0,0,N/A,N/A,N/A
17,4,1,4,3,CPIH,1,6.46300,.20656,6.16502,6.65346,6.59695
18,4,1,4,3,CPIH,1,8.01673,.44753,7.39724,8.40332,8.36182
19,4,1,4,3,CPIH,1,11.45990,.60469,10.5987,12.0059,11.8392
20,4,1,4,3,CPIH,1,12.67688,.06332,12.6058,12.783,12.6422
21,4,1,4,3,CPIH,1,18.40314,.57437,17.9148,19.1283,17.9533
22,4,1,4,3,CPIH,1,33.19720,.10094,33.0168,33.3021,33.1934
23,4,1,4,3,CPIH,1,66.03464,.13964,65.8542,66.282,66.0294
15,4,1,2,3,CIH,0,0,0,N/A,N/A,N/A
16,4,1,2,3,CIH,0,6.35379,.06172,6.28788,6.46226,6.3241
17,4,1,2,3,CIH,0,10.79454,.13841,10.6188,11.005,10.7267
18,4,1,2,3,CIH,0,13.64736,.25694,13.4948,14.1573,13.503
19,4,1,2,3,CIH,0,12.91448,.25770,12.5279,13.2647,12.8583
20,4,1,2,3,CIH,0,17.68958,.13289,17.5207,17.8764,17.6724
21,4,1,2,3,CIH,0,31.15358,.08336,31.0278,31.2785,31.1369
22,4,1,2,3,CIH,0,59.97604,.40590,59.6911,60.7819,59.7915
23,4,1,2,3,CIH,0,121.05980,.14923,120.808,121.211,121.071
15,4,1,4,3,CIH,0,0,0,N/A,N/A,N/A
16,4,1,4,3,CIH,0,0,0,N/A,N/A,N/A
17,4,1,4,3,CIH,0,9.64057,.06244,9.54509,9.73779,9.62948
18,4,1,4,3,CIH,0,11.36618,.22547,11.082,11.5636,11.5285
19,4,1,4,3,CIH,0,14.86844,.36094,14.5619,15.5429,14.7084
20,4,1,4,3,CIH,0,17.81586,.11571,17.6194,17.9695,17.8184
21,4,1,4,3,CIH,0,28.48266,.23668,28.2071,28.8937,28.4068
22,4,1,4,3,CIH,0,53.78226,.04516,53.7192,53.857,53.7708
23,4,1,4,3,CIH,0,109.10180,.15792,108.95,109.37,109.053
15,4,1,2,3,CPIH,0,0,0,N/A,N/A,N/A
16,4,1,2,3,CPIH,0,4.83070,.06300,4.7233,4.89385,4.86074
17,4,1,2,3,CPIH,0,8.00115,.42646,7.15453,8.30148,8.18203
18,4,1,2,3,CPIH,0,11.09592,.73937,9.61793,11.4903,11.4714
19,4,1,2,3,CPIH,0,10.15167,.21384,9.88158,10.4167,10.0504
20,4,1,2,3,CPIH,0,12.83852,.15798,12.6156,13.1052,12.8165
21,4,1,2,3,CPIH,0,20.84588,.09659,20.6771,20.9286,20.9045
22,4,1,2,3,CPIH,0,39.88528,.21054,39.6557,40.2285,39.8123
23,4,1,2,3,CPIH,0,78.78192,.38274,78.0252,79.0637,78.9625
15,4,1,4,3,CPIH,0,0,0,N/A,N/A,N/A
16,4,1,4,3,CPIH,0,0,0,N/A,N/A,N/A
17,4,1,4,3,CPIH,0,6.75068,.17927,6.40242,6.90065,6.82023
18,4,1,4,3,CPIH,0,8.46508,.35683,7.7597,8.70541,8.65469
19,4,1,4,3,CPIH,0,11.21532,.94796,10.3966,12.894,10.607
20,4,1,4,3,CPIH,0,12.83740,.14822,12.7152,13.126,12.7967
21,4,1,4,3,CPIH,0,18.33694,.18761,17.9991,18.5249,18.4033
22,4,1,4,3,CPIH,0,33.18880,.05585,33.1028,33.254,33.2137
23,4,1,4,3,CPIH,0,65.92380,.04959,65.8628,66.0138,65.9111
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
,,,,,,,0,0,N/A,N/A,N/A
